algorithm,edge_group,split,dynamic_stage,value
gpt4,doi_bioActivity,0.8,1st,
gpt4,doi_bioActivity,0.8,2nd,
gpt4,doi_bioActivity,0.8,3rd,
gpt4,doi_bioActivity,0.8,4th,
gpt4,doi_bioActivity,0.8,1st,0.16666666666666666
gpt4,doi_bioActivity,0.8,2nd,0.16666666666666666
gpt4,doi_bioActivity,0.8,3rd,0.16666666666666666
gpt4,doi_bioActivity,0.8,4th,0.16666666666666666
gpt4,doi_bioActivity,0.8,1st,0.16666666666666666
gpt4,doi_bioActivity,0.8,2nd,0.16666666666666666
gpt4,doi_bioActivity,0.8,3rd,0.16666666666666666
gpt4,doi_bioActivity,0.8,4th,0.16666666666666666
gpt4,doi_bioActivity,0.8,1st,0.16666666666666666
gpt4,doi_bioActivity,0.8,2nd,0.16666666666666666
gpt4,doi_bioActivity,0.8,3rd,
gpt4,doi_bioActivity,0.8,4th,
gpt4,doi_bioActivity,0.8,1st,0.16666666666666666
gpt4,doi_bioActivity,0.8,2nd,0.16666666666666666
gpt4,doi_bioActivity,0.8,3rd,0.16666666666666666
gpt4,doi_bioActivity,0.8,4th,
gpt4,doi_bioActivity,0.8,1st,0.16666666666666666
gpt4,doi_bioActivity,0.8,2nd,0.16666666666666666
gpt4,doi_bioActivity,0.8,3rd,
gpt4,doi_bioActivity,0.8,4th,
gpt4,doi_bioActivity,0.8,1st,
gpt4,doi_bioActivity,0.8,2nd,
gpt4,doi_bioActivity,0.8,3rd,
gpt4,doi_bioActivity,0.8,4th,
gpt4,doi_bioActivity,0.8,1st,0.16666666666666666
gpt4,doi_bioActivity,0.8,2nd,
gpt4,doi_bioActivity,0.8,3rd,
gpt4,doi_bioActivity,0.8,4th,
gpt4,doi_bioActivity,0.8,1st,0.16666666666666666
gpt4,doi_bioActivity,0.8,2nd,
gpt4,doi_bioActivity,0.8,3rd,
gpt4,doi_bioActivity,0.8,4th,
gpt4,doi_bioActivity,0.8,1st,0.16666666666666666
gpt4,doi_bioActivity,0.8,2nd,0.16666666666666666
gpt4,doi_bioActivity,0.8,3rd,0.16666666666666666
gpt4,doi_bioActivity,0.8,4th,0.16666666666666666
